text,label,label_text
"Approved Disability
Hello Everyone 👋

I finally got approved for disability. The process took me 1 year in total and I was approved on the first try.

I have tried over 40 medications 💊 with 10 different doctors and 5-7 different hospitals/clinics.

Just want to say, it’s possible for chronic migraines. Keep pushing and track EVERYTHING. I had a thick packet and finally it paid off.

Thank you to everyone in this sub that has kept me afloat and hopeful, really helped.

Cheers, Silver 🐶 🐾",0,irrelevant
"ARTICLE: Neurologists reveal 15 subtle migraine symptoms — that aren’t a headache
I ran across this article about migraines and how neurologists are starting to rethink some some longstanding beliefs. I was particularly glad to see the comment ""this is a complex brain disorder, and it's not just a headache,"" which addresses how migraines are frequently dismissed by friends, family, and employers who are as ""just a headache."" I've always considered migraines as a neurological condition.

The article lists a number of things that might be a sign that a migraine is developing, some which have traditionally been considered as triggers which cause a migraine. The list includes
Food cravings, especially for sweet or salty foods, and neck stiffness, aching or pain. The article states:

""While some of these behaviors, particularly cravings, were once thought of exclusively as migraine triggers, ""there's a movement to shift away from thinking about triggers,"" Singh explains. ""We're reframing that and wondering if it's actually part of this prodrome phase of migraine."" Essentially, it's not that eating chocolate triggered your migraine attack and, instead, experts are starting to think the craving for chocolate might be part of the first phase of migraine.""

Here's the whole article:

https://www.today.com/health/mind-body/migraine-subtle-warning-signs-rcna185004",0,irrelevant
"Anyone else get chills (or sweats) with their migraines?
I swear I feel like I have a fever when I'm migrainey. It genuinely doesn't feel different than when I've had cellulitis, an appendix tumor, or Covid. But I take my temp and it's normal.

Currently shivering with an all-day migraine that I'm pretty sure started yesterday.",1,relevant
"What's your migraine remedy?
I'm on my 3rd day of a migraine. :( I can't skip classes though so I've been walking around with sunglasses this whole time.

Do you lovely ladies have any tips for dealing with migraines? I'm really stuck. I've never had one before this and I think it's even delayed my period since I'm so stressed out.

update: I had some coffee and it feels like the caffeine helps, or at least is providing a much needed placebo. They don't sell excedrin migraine in Canada (in case anyone is wondering) thank you everyone for your responses <3",1,relevant
"LPT Request: Migraine relief tips
So I've been getting migraines for years and pain relief pills don't help to relieve the pain anymore. I have one right now that's making me feel nauseous it's so bad. Does anyone have any home remedies or anything for relief?",1,relevant
"What do yall do for Migraines?
Question
My doctor basically told me the only pill i can take is regular strength tylenol, and it wont do anything. All he said i can do is rest and over hydrate (drink plenty of water)... this is the worst and theyre taking days to go away...also i cant DRINK enough water! I pee constantly and go through a 24 of water bottles a day. Can we preggos take Pedialyte?? Im waiting for a call back from my doc about pedialyte but im not holding my breathe as its the holidays. What are your go to headache/migraine cures??",1,relevant
"Has anyone actually cured their migraines?
Hi there. I get around 2 migraines a month. I can usually manage them by taking Ibuprofen Lysine (over the counter) and resting before the pain gets too bad. They then usually subside gradually over 24- 48 hours. The worst ones are where I am required to be somewhere, like a family gathering/work commitment and cannot rest, then the pain gets passed what i call the 'point of no return'. Once I go passed this point I get blurry vision and vomiting and the pain is like my head is being squeezed in a vice - IYKYK

Anyways my sympathy to anyone who gets them worse than me, I know a lot of people do.

Has anyone actually cured their migraines? I am willing to try anything (within reason!).

Here is what I think causes my migraines:

Alcohol (pretty much tea total now), excess caffeine, excess sugar, excess background noise, too much screen use, stress.

I try and eat a clean whole food diet 90% of the time, exercise cardio and resistance daily, get plenty of sleep. All I am sure help.

I have a 3 to 4 a day coffee addiction. Maybe I should cut this down?

Someone else recommended cranial massage/manipulation?

Thanks in advance.",1,relevant
"McDonald’s fries
Hello my fellow post migraine McDonald’s partakers. I was today years old when I found out their fries contain gluten 🤦🏼‍♀️ So if you’re gluten intolerant or celiac and didn’t already know….surprise!",1,relevant
"Can you clear up a UTI without needing antibiotics?
For example, if you catch it early enough, can you just drown it in cranberry juice?",1,relevant
"Beyond angry and upset
I had recurrent UTI’s from 2019-2021 that were very painful and aggressive, every 6 weeks at the most I’d get one. I had to drop out of school for a bit and then I had to almost quit my job.

I was doing lab results and never had them communicated to me. I have had recurrent UTI’s since then but it’s gotten easier.

I finally found a doctor who listens to me and extracted all the former lab work and went through it with me and told me my UTI’s have been caused by a very aggressive bacteria called klebselia pneumonie. I’m spelling it wrong lol. But after all these years of being told my UTI’s weren’t a big deal, I find out it actually is more aggressive and real than I thought.

I’m on a treatment plan right now but for everyone who feels like giving up or feels stuck

Don’t stop asking questions Don’t stop seeking more info Don’t stop advocating for yourself Don’t listen to the docs who think you’re making this up

Its not anxiety It’s not stress It’s not in your head

Keep fighting guys",0,irrelevant
"Chronic UTI has made me ( 29 F) suicidal.
Suicidal from chronic UTI. Want it to end. Don’t see any hope for recovery. Been suffering from chronic UTI symptoms for three and a half years now. The current culture tests don’t show anything. Doctors think it’s psychological. Can’t work, travel or exercise. Can’t have sex. Can’t eat or drink anything because my bladder reacts to almost everything. I’m peeing frequently. Drinking too much water triggers it. Drinking too less water triggers it. In an emotionally distressing relationship. Staying triggers my UTI symptoms, trying to leave the relationship triggers my UTI symptoms. Bf seems to have had enough. Antibiotics , D-mannose, herbal remedies , cranberry, diet modifications. Have tried all forms of medications. Nothing has worked so far. Confined to my bedroom so that I can stay close to my bathroom. Even pelvic therapy triggers it more. Feeling helpless and lost. Want a way out.",1,relevant
"Idk what to do
E. fae is definitely back after 5 days of levoflaxocin. I’m so frustrated.",1,relevant
"Ciprofloxacin
I got prescribed with it today for my uti. I have a heart condition and I have autism and adhd should I be worried about anything?",1,relevant
